id,data,mes,hora,tipo_ocorrencia,regiao,prioridade,tempo_resposta_min,idade_vitima,status
1,2025-07-16 11:32:05,Jul,11,Incêndio em Edifício,Zona Norte,Média,14,36,Concluído
2,2025-02-16 11:32:05,Feb,11,Incêndio em Edifício,Centro,Alta,8,26,Concluído
3,2025-04-22 11:32:05,Apr,11,Incêndio Florestal,Centro,Baixa,22,46,Concluído
4,2025-09-15 11:32:05,Sep,11,Salvamento Aquático,Região Metropolitana,Baixa,32,35,Concluído
5,2025-08-11 11:32:05,Aug,11,Incêndio em Edifício,Centro,Alta,10,33,Concluído
6,2025-02-12 11:32:05,Feb,11,Acidente Veicular,Zona Oeste,Alta,10,39,Concluído
7,2025-05-09 11:32:05,May,11,APH - Mal Súbito,Região Metropolitana,Média,16,70,Concluído
8,2025-01-05 11:32:05,Jan,11,Incêndio Florestal,Região Metropolitana,Média,30,39,Concluído
9,2025-05-29 11:32:05,May,11,Acidente Veicular,Zona Norte,Alta,7,46,Concluído
10,2025-09-24 11:32:05,Sep,11,APH - Mal Súbito,Zona Sul,Média,29,67,Concluído
11,2025-09-10 11:32:05,Sep,11,Acidente Veicular,Zona Sul,Baixa,15,44,Concluído
12,2025-10-14 11:32:05,Oct,11,Incêndio em Edifício,Região Metropolitana,Média,20,73,Concluído
13,2025-06-27 11:32:05,Jun,11,Resgate em Altura,Região Metropolitana,Baixa,15,39,Concluído
14,2025-08-09 11:32:05,Aug,11,Incêndio Florestal,Zona Sul,Média,20,53,Concluído
15,2025-08-12 11:32:05,Aug,11,Incêndio em Edifício,Região Metropolitana,Alta,10,35,Concluído
16,2024-12-29 11:32:05,Dec,11,APH - Mal Súbito,Zona Norte,Baixa,30,63,Concluído
17,2025-07-06 11:32:05,Jul,11,Incêndio em Edifício,Centro,Média,31,48,Concluído
18,2025-09-12 11:32:05,Sep,11,APH - Mal Súbito,Zona Norte,Alta,6,61,Concluído
19,2025-05-27 11:32:05,May,11,Vazamento de Gás,Zona Sul,Média,18,24,Concluído
